# Title: North America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
200001,1.41
200002,2.86
200003,2.53
200004,0.84
200005,0.36
200006,0.06
200007,0.6
200008,0.45
200009,0.24
200010,0.27
200011,0.34
200012,-0.7
200101,2.63
200102,0.71
200103,0.87
200104,0.96
200105,0.8
200106,0.45
200107,0.66
200108,1.12
200109,1.13
200110,0.32
200111,1.87
200112,2.14
200201,2.1
200202,0.72
200203,-1.06
200204,-0.31
200205,-0.37
200206,1.01
200207,0.8
200208,0.33
200209,1.2
200210,-0.02
200211,1.37
200212,3.18
200301,2.43
200302,0.07
200303,0.37
200304,0.79
200305,0.76
200306,0.39
200307,0.92
200308,1.18
200309,0.81
200310,1.81
200311,0.64
200312,1.82
200401,-0.2
200402,1.38
200403,1.34
200404,0.75
200405,-0.12
200406,0.14
200407,0.34
200408,-0.12
200409,0.34
200410,0.81
200411,1.22
200412,0.11
200501,1.1
200502,2.25
200503,1.8
200504,1.64
200505,0.74
200506,0.8
200507,0.73
200508,0.52
200509,0.87
200510,0.93
200511,1.5
200512,1.88
200601,3.37
200602,1.83
200603,1.57
200604,2.05
200605,1.59
200606,1.25
200607,1.05
200608,0.75
200609,0.83
200610,0.7
200611,-0.05
200612,2.8
200701,2.03
200702,0.49
200703,0.92
200704,0.85
200705,0.47
200706,0.89
200707,1.2
200708,0.68
200709,0.45
200710,1.09
200711,0.9
200712,0.37
200801,0.78
200802,0.01
200803,-0.2
200804,0.28
200805,0.42
200806,0.69
200807,0.44
200808,0.46
200809,0.4
200810,0.48
200811,1.38
200812,-0.62
200901,0.99
200902,1.17
200903,-0.38
200904,0.38
200905,0.05
200906,0.21
200907,0.27
200908,0.27
200909,1.31
200910,-0.76
200911,1.9
200912,0.65
201001,2.07
201002,2.37
201003,2.67
201004,2.68
201005,0.84
201006,0.98
201007,0.94
201008,1.2
201009,1.1
201010,1.6
201011,1.74
201012,1.56
201101,1.47
201102,0.65
201103,0.5
201104,-0.12
201105,0.35
201106,0.72
201107,1.2
201108,1.3
201109,1.37
201110,1.04
201111,0.86
201112,1.94
201201,2.08
201202,2.82
201203,2.3
201204,1.6
201205,1.3
201206,1.56
201207,1.63
201208,1.35
201209,1.46
201210,0.45
201211,0.42
201212,1
201301,1.71
201302,1.37
201303,0.92
201304,-0.67
201305,0.19
201306,1.26
201307,0.42
201308,0.76
201309,1.22
201310,1.01
201311,-0.01
201312,-1.09
201401,2.16
201402,-0.06
201403,-0.32
201404,0.21
201405,0.84
201406,0.98
201407,0.61
201408,0.9
201409,0.81
201410,1.5
201411,-0.19
201412,2.15
201501,1.75
201502,-0.25
201503,1.68
201504,1.06
201505,0.98
201506,1.33
201507,0.75
201508,0.88
201509,1.61
201510,1.34
201511,1.7
201512,2.44
201601,3.25
201602,2.99
201603,2.92
201604,1.51
201605,1.42
201606,1.58
201607,1.29
201608,1.24
201609,1.52
201610,1.31
201611,3.43
201612,0.7
201701,2.82
201702,2.95
201703,1.16
201704,1.1
201705,1.19
201706,1.07
201707,1.01
201708,0.82
201709,1.42
201710,1.33
201711,0.95
201712,1.95
201801,2.02
201802,0.99
201803,1.59
201804,-0.37
201805,1.4
201806,1.03
201807,0.98
201808,0.72
201809,0.39
201810,0.03
201811,0.06
201812,2.14
201901,1.41
201902,-0.19
201903,1.74
201904,1.34
201905,0.93
201906,0.89
201907,1.03
201908,0.99
201909,1.73
201910,0.67
201911,1.11
201912,1.85
202001,1.89
202002,1.09
202003,1.15
202004,0.64
202005,0.63
202006,1
202007,1.3
202008,1.36
202009,0.63
202010,0.44
202011,1.56
202012,2.67
202101,3.88
202102,-0.42
202103,2.02
202104,1.17
202105,0.54
202106,1.77
202107,1.11
202108,1.1
202109,1.55
202110,2.4
202111,1.82
202112,1.89
202201,0.92
202202,-0.29
202203,1.67
202204,0.08
202205,0.85
202206,1.19
202207,1.43
202208,1.7
202209,1.98
202210,1.67
202211,0.67
202212,0.61
202301,3.3
202302,0.75
202303,0.59
202304,0.93
202305,2.11
202306,1.41
202307,1.74
202308,1.79
202309,2.37
202310,2.05
202311,2.6
202312,4.39
202401,2.13
202402,3.36
202403,1.91
202404,2.28
202405,1.47
202406,1.41
202407,1.59
202408,1.47
202409,2.67
202410,2.43
202411,2.54
202412,3.21
202501,2.44
202502,1.62
202503,2.42
202504,1.88
202505,1.53
202506,1.3
202507,1.08
202508,1.51
202509,2.35
202510,2.69
202511,3.47
202512,1.32
202601,2.96
202602,2.2
202603,1.79
